Song_ID,Song_Name,Artist,Metre,Tonic
"1","I Don't mind","James Brown","6/8","C"
"2","You've got a Friend","Roberta Flack and Donny Hathaway","4/4","Ab"
"3","The Rose","Bette Midler","4/4","C"
"4","An Innocent Man","Billy Joel","4/4","C"
"5","Lookin' for Love ","Johnny Lee","4/4","D"
"6","Last Child","Aerosmith","4/4","Eb"
"7","She Bop","Cyndi Lauper","4/4","A"
"8","Kiss On My List","Hall & Oates","4/4","C"
"9","Here's Some Love","Tanya Tucker","4/4","Db"
"10","Just Can't Wait","The J. Geils Band","4/4","G"
"11","Never My Love","The 5th Dimension","4/4","G"
"12","And She Was","Talking Heads","4/4","E"
"13","Chicago ","Graham Nash","4/4","A"
"14","Swing Talkin' Guy","Chiffons","4/4","B"
"15","Rock 'n' Roll Fantasy ","Bad Company","4/4","E"
"16","The Joker ","Steve Miller Band","4/4","F"
"17","Indiana Wants Me","R Dean Tayloy","4/4","Ab"
"18","Crazy On You","Heart","4/4","A"
"19","Yvonne Elliman","If I Can't Have You","4/4","C"
"20","Jimi Hendrix","Freedom","4/4","C"
"21","Foggy Mountain Breakdown","Flatt & Scruggs","4/4","Ab"
"22","It's Only Rock and Roll (But I Like It) ","Rolling Stones","4/4","E"
"23","The Power","Snap","4/4","B"
"24","Absolutely Right","Five Man Electrical Band","4/4","A"
"25","Two Hearts","Phil Collins","4/4","G"
"26","Some Like It Hot","The Power Station","4/4","E"
"27","I'll Take You There","The Staple Singers","4/4","C"
"28","People","Barbara Streisand","4/4","A"
"29","Love Me Do","Beatles","4/4","G"
"30","Carrie","Cliff Richard","4/4","D"
"31","Over The Hills and Far Away","Led Zeppelin","4/4","G"
"32","Last Kiss","J. Frank Wilson & The Cavaliers","4/4","E"
"33","Smoking Gun","The Robert Cray Band","4/4","E"
"34","I Love You So","Bobbi Martin","4/4","Bb"
"35","Is That All There Is","Peggy Lee","3/4","C"
"36","I Put A Spell On You","Creedence Clearwater Revival","12/8","E"
"37","Hurts To Be In Love","Gino Vanelli","4/4","E"
"38","Cry Softly Lonely One","Roy Orbison","4/4","G"
"39","Do You Love Me","The Contours","4/4","F"
"40","Bongo Stomp","Little Joey & The Flips","4/4","Eb"
"41","Black Cars","Gino Vannelli","4/4","E"
"42","Hot Fun In The Summertime","Sly & The Family Stone","4/4","C"
"43","Paradise by the Dashboard Light","Meatloaf","4/4","C"
"44","Get Together","The Youngbloods","4/4","A"
"45","Crazy On You","Heart","4/4","A"
"46","Nowhere To Run ","Martha Reeves & The Vandellas","4/4","Ab"
"47","Drivin' Wheel","Foghat","4/4","D"
"48","Reminiscing","Little River Band","4/4","D"
"49","Dial My Heart","The Boys","4/4","A"
"50","Cold Sweat - Part 1","James Brown","4/4","D"
"51","You Can Call Me Al","Paul Simon","4/4","F"
"52","Red Red Wine","UB40","4/4","Db"
"53","I Just Can't Stop Loving You","Michael Jackson","4/4","C"
"54","Space Oddity","David Bowie","4/4","E"
"55","Buy For Me The Rain","Nitty Gritty Dirt Band","4/4","C"
"56","Fire And Ice","Pat Benetar","4/4","C"
"57","True","Spandau Ballet","4/4","G"
"58","Shock the Monkey","Peter Gabriel","4/4","D"
"59","Wild Horses","Rolling Stones","4/4","G"
"60","Drivin' Wheel","Foghat","4/4","D"
"61","Motown Philly ","Boyz II Men","4/4","D"
"62","A Trick Of The Night","Bananarama","4/4","C"
"63","Maggie May","Rod Stewart","4/4","D"
"64","A Lesson in Leavin","Dottie West","4/4","B"
"65","For The Good Times","Ray Price","4/4","Eb"
"66","We Two","Little River Band","4/4","A"
"67","The Spirit of Radio","Rush","4/4","E"
"68","If","Bread","4/4","A"
"69","Sweet Home Alabama","Lynyrd Skynyrd","4/4","G"
"70","Ma belle amie","The tee set","4/4","G"
"71","Eight Miles High ","The Byrds","4/4","E"
"72","Letter Full of Tears","Gladys Knight & The Pips","4/4","E"
"73","Sunshine of Your Love","Cream","4/4","D"
"74","Sweet Little Rock N' Roll","Chuck Berry","4/4","G"
"75","Let It Rain","Eric Clapton","4/4","D"
"76","Stand By Me","David Ruffin, Jimmy Ruffin","4/4","G"
"77","Be My Baby","The Ronettes","4/4","E"
"78","Have You Ever Loved Somebody","Freddie Jackson","4/4","E"
"79","Silent Night","Bing Crosby","3/4","Ab"
"80","Promises","Eric Clapton","4/4","G"
"81","Willie Nelson","Blue Eyes Cryin' ","4/4","E"
"82","Stop the Wedding","Etta James","12/8","Bb"
"83","Brandy","Looking Glass","4/4","E"
"84","Tumbling Dice","The Rolling Stones","4/4","B"
"85","I wouldn't Have Missed it For The World","Ronnie Milsap","4/4","G"
"86","Detroit City","Bobby Bare","4/4","E"
"87","I Had Too Much To Dream","Electric Prunes","4/4","D"
"88","The Way You Do The Things You Do","UB40","4/4","Ab"
"89","La Grange","ZZ Top","4/4","A"
"90","Shock the Monkey","Peter Gabriel","4/4","D"
"91","Runaround Sue","Dion","4/4","D"
"92","Wheels ","The String-A-Longs","4/4","F"
"93","Spirits In The Material World","The Police","4/4","A"
"94","Just When I Needed You Most","Randy Vanwarmer","4/4","A"
"95","What's Love Got To Do With It","Tina Turner","4/4","G#"
"96","Walk Right Back","The Everly Brothers","4/4","Db"
"97","Lonely Eyes","Robert John","4/4","F"
"98","Forever Man","Eric Clapton","4/4","D"
"99","Sleep Walk","Santo & Johnny","6/8","Db"
"100","Something About You","Level 42","4/4","E"
"101","Little Sister","Elvis Presley ","4/4","E"
"102","If you need me","Solomon Burke ","4/4","A"
"103","Sweet Nothin's","Brenda Lee","4/4","G"
"104","No Charge","Melba Montgomery","3/4","G"
"105","The Animals ","San Franciscan Nights ","4/4","C"
"106","Don Gibson","Sea of Heartbreak ","4/4","G"
"107","Golden Earring","Twilight Zone","4/4","B"
"108","If you need me","Solomon Burke ","4/4","A"
"109","Chicago","25 or 6 to 4","4/4","A"
"110","I've Got Love On My Mind","Nathalie Cole","4/4","Db"
"111","You Can't Judge A Book By The Cover","Bo Diddley","4/4","Ab"
"112","Gordon Lightfoot","Beautiful ","4/4","B"
"113","Naked Eyes","Always Something There to Remind Me","4/4","D"
"114","Annie's Song","John Denver","3/4","D"
"115","Chiquitita","ABBA","4/4","A"
"116","Always on My Mind","Pet Shop Boys","4/4","G"
"117","Just A Dream","Jimmy Clanton","12/8","G"
"118","Help Is On The Way","Little River Band","4/4","B"
"119","I Want You To Want Me","Cheap Trick","4/4","A"
"120","Never Can Say Goodbye","Gloria Gaynor","4/4","C"
"121","People Got To Be Free","The Rascals","4/4","F"
"122","Unforgettable","Dinah Washington","12/8","F"
"123","Shadow Dancing","Andy Gibb","4/4","G"
"124","Willie And The Hand Jive","Eric Clapton","4/4","A"
"125","Schoool's out","Alice Cooper","4/4","F#"
"126","Love Me Warm And Tender","Paul Anka","4/4","D"
"127","Along Comes A Woman","Chicago","4/4","D"
"128","Could I Have This Dance","Anne Murray","3/4","B"
"129","Love Train","The O'Jays","4/4","C"
"130","Wonderful World, Beautiful People","Jimmy Cliff","4/4","D"
"131","I Want To Take You Higher","Ike & Tina Turner","4/4","Ab"
"132","Pressure","Billy Joel","4/4","D"
"133","Maybe I'm Amazed","Paul McCartney","4/4","D"
"134","Back in the High Life Again","Steve Winwood","4/4","D"
"135","Another Rainy Day in New York City","Chicago","4/4","A"
"136","Already Gone","The Eagles","4/4","G"
"137","She's A Lady","Tom Jones","4/4","D"
"138","It's Gonna Work Out Fine","Ike & Tina Turner","4/4","C"
"139","Comin' Home Baby","Mel Torme","4/4","G"
"140","The Right Time","Ray Charles","4/4","Eb"
"141","Magic Man","Heart","4/4","G"
"142","Do your thing","Isaac Hayes","4/4","F"
"143","Jessie's Girl","Rick Springfield","4/4","D"
"144","Fernando","Abba","4/4","A"
"145","Ramblin' Rose","Nat King Cole","4/4","A"
"146","Feel Like Making Love","Roberta Flack","4/4","Eb"
"147","For Ol' Times Sake","Elvis Presley","4/4","Bb"
"148","Wanna Be Startin' Somethin'","Michael Jackson","4/4","D"
"149","Galveston","Glen Campbell","4/4","F"
"150","Promises In The Dark","Pat Benatar","4/4","F"
"151","Still Cruisin","The Beach Boys","4/4","F"
"152","Honky Tonk Women","The Rolling Stones","4/4","G"
"153","Knowing Me, Knowing You","ABBA","4/4","D"
"154","Life Is A Carnival","The Band","4/4","E"
"155","Back Home Again","John Denver","4/4","E"
"156","Tonight, Tonight, Tonight","Genesis","4/4","D"
"157","You Decorated My Life","Kenny Rogers","4/4","G"
"158","Sail On Sailor","The Beach Boys","4/4","G"
"159","Just The Way You Are","Billy Joel","4/4","D"
"160","White Christmas","Bing Crosby","4/4","A"
"161","Because I Love You","Stevie B","4/4","Db"
"162","Have You Seen Your Mother, Baby, Standing In The Shadow? ","The Rolling Stones","4/4","G"
"163","It Amazes Me","John Denver","4/4","D"
"164","Rhinestone Cowboy","Glen Campbell","4/4","C"
"165","Last Kiss","J. Frank Wilson & The Cavaliers","4/4","E"
"166","I'd Love To Change The World","Ten Years After","4/4","E"
"167","Old Time Rock & Roll","Bob Seger","4/4","F#"
"168","Handy Man","Jimmy Jones","4/4","Bb"
"169","Theme From Electric Surfboard","Brother Jack McDuff","4/4","Bb"
"170","Love Came To Me","Dion","4/4","G"
"171","Sanctify Yourself","Simple Minds","4/4","G"
"172","Smokin' In The Boys Room","Brownsville station","4/4","D"
"173","Shape Of Things To Come","Max Frost & The Troopers","4/4","F"
"174","Don t Treat Me Bad","Firehouse","4/4","Ab"
"175","Born To Be Alive","Patrick Hernandez","4/4","D"
"176","She's A Lady","Tom Jones","4/4","D"
"177","In-A-Gadda-Da-Vida","Iron Butterfly","4/4","D"
"178","Last Kiss","Wednesday","4/4","E"
"179","Dandelion","Rolling Stones","4/4","Bb"
"180","(Last Night) I Didn't Get To Sleep At All","The 5th Dimension","4/4","Ab"
"181","Worried Guy","Johnny Tillotson","4/4","G"
"182","Time For Me To Fly","REO Speedwagon","4/4","D"
"183","Money","Pink Floyd","7/4","B"
"184","In My Room","The Beach Boys","4/4","B"
"185","Addicted to Love","Robert Palmer","4/4","A"
"186","Promises In The Dark","Pat Benatar","4/4","F"
"187","Patches","Clarence Carter","4/4","B"
"188","Waiting On A Friend","Rolling Stones","4/4","C"
"189","Born To Be Alive","Patrick Hernandez","4/4","D"
"190","It Takes Two","Marvin Gaye & Kim Weston","4/4","Bb"
"191","There's the Girl","Heart","4/4","B"
"192","Gotta Serve Somebody","Bob Dylan","4/4","A"
"193","These Boots Are Made For Walkin'","Nancy Sinatra","4/4","F"
"194","As Usual","Brenda Lee","4/4","Db"
"195","Guitar Man","Elvis Presley","4/4","Db"
"196","Long Dark Road","The Hollies","4/4","E"
"197","The Way You Do The Things You Do","Rita Coolidge","4/4","E"
"198","Chicago","25 or 6 to 4","4/4","A"
"199","Every Little Thing She Does Is Magic","The Police","4/4","D"
"200","Mr. Bojangles","Jerry Jeff Walker","3/4","D"
"201","Just The Way You Are","Billy Joel","4/4","D"
"202","Lyin' Eyes","Eagles","4/4","G"
"203","That's the Way I Feel About Cha","Bobby Womack","4/4","D"
"204","Here I Go Again","Whitesnake","4/4","G"
"205","Do You Want To Know A Secret","The Beatles","4/4","E"
"206","Break It To Me Gently ","Juice Newton","12/8","E"
"207","The Humpty Dance ","Digital Underground ","4/4","Eb"
"208","In The Navy","Village People ","4/4","G"
"209","Cruisin'","Smokey Robinson","4/4","E"
"210","You Can't Roller Skate In A Buffalo Herd","Roger Miller","4/4","G"
"211","All Through The Night","Cyndi Lauper","4/4","Ab"
"212","The Other Guy","Little River Band","4/4","F"
"213","Daydream Believer","Anne Murray","4/4","Bb"
"214","I Got You (I Feel Good)","James Brown","4/4","D"
"215","Come And Get Your Love","Redbone","4/4","D"
"216","Dream Police","Cheap Trick ","4/4","E"
"217","Wheels ","The String-A-Longs","4/4","F"
"218","I Want You","Marvin Gaye","4/4","C#"
"219","Floy Joy","The Supremes","4/4","F"
"220","Bird Dog","The Everly Brothers","4/4","B"
"221","Dream Police","Cheap Trick ","4/4","E"
"222","When Will I Be Loved","Linda Ronstadt","4/4","E"
"223","Let Me Get To Know You","Paul Anka","4/4","E"
"224","My Boy","Elvis Presley","4/4","D"
"225","Smoking Gun","The Robert Cray Band","4/4","E"
"226","Where Do You Wanna Go","The Fifth Dimension","4/4","G"
"227","Jungle Boogie","Kool and the Gang","4/4","G"
"228","Waiting On A Friend","Rolling Stones","4/4","C"
"229","Somebody s Watching Me","Rockwell","4/4","C#"
"230","Do You Love Me","The Contours","4/4","F"
"231","Your Love Has Lifted Me Higher","Rita Coolidge","4/4","Db"
"232","Through The Years","Kenny Rogers","4/4","G"
"233","Deeper Shade Of Soul","Urban Dance Squad","4/4","D"
"234","Easy","The Commodores","4/4","Ab"
"235","If I Were Your Woman","Gladys Night & The Pips","4/4","F#"
"236","Doo Doo Doo Doo Doo","The Rolling Stones","4/4","E"
"237","Living It Down ","Freddy Fender","4/4","C"
"238","Sunflower","Glen Campbell","4/4","G"
"239","The Best","Tina Turner","4/4","F"
"240","Don t Treat Me Bad","Firehouse","4/4","Ab"
"241","Roll On Down The Highway","Bachman-Turner Overdrive","4/4","D"
"242","Good Vibrations","Marky Mark & The Funky Bunch","4/4","Ab"
"243","I Can't Drive 55","Sammy Hagar","4/4","E"
"244","Philadelphia Freedom","Elton John","4/4","Bb"
"245","I Rise, I Fall","Johnny Tillotson","4/4","E"
"246","Dum Dum","Brenda Lee","4/4","Db"
"247","Superman","Donna Fargo","4/4","B"
"248","Just Like Heaven","The Cure","4/4","A"
"249","I Want To Take You Higher","Ike & Tina Turner","4/4","Ab"
"250","This Song","George Harrison","4/4","E"
"251","Last Kiss","Wednesday","4/4","E"
"252","Evil Ways","Santana","4/4","G"
"253","Feelin' Stronger Every Day","Chicago","4/4","F"
"254","Undercover Angel","Alan O'Day","4/4","Bb"
"255","Kind Of A Drag","The Buckinghams","4/4","G"
"256","Kisses On The Wind","Neneh Cherry","4/4","D"
"257","Losing You","Brenda Lee","12/8","E"
"258","Scarlet Fever","Kenny Rogers","4/4","D"
"259","I Can't Stand The Rain","Ann Peebles","4/4","Ab"
"260","The Humpty Dance ","Digital Underground ","4/4","Eb"
"261","Best Thing That Ever Happened To Me","Gladys Knight & The Pips","4/4","A"
"262","Hocus Pocus","Focus","4/4","A"
"263","Where The Streets Have No Names","Pet Shop Boys","4/4","Bb"
"264","Sunshine Superman ","Donovan","4/4","Db"
"265","If you love somebody set them free","Sting","4/4","D"
"266","Hold On","Wilson Phillips","4/4","F"
"267","I Really Don't Want To Know","Elvis Presley","3/4","C"
"268","Time Is On My Side","Rolling Stones","12/8","F"
"269","Tenderness","General Public","4/4","C"
"270","Young Hearts Run Free","Candi Staton","4/4","Eb"
"271","It's Your Thing","The Isley Brothers","4/4","F"
"272","Misunderstanding","Genesis","4/4","C"
"273","Here Come Those Tears Again","Jackson Browne","4/4","Bb"
"274","Fever","Peggy Lee","4/4","A"
"275","Kozmic Blues","Janis Joplin","6/8","A"
"276","One Night","Elvis Presley","12/8","E"
"277","Woman To Woman","Shirley Brown","4/4","Eb"
"278","The Goonies `R Good Enough ","Cyndi Lauper","4/4","E"
"279","Last Kiss","J. Frank Wilson & The Cavaliers","4/4","E"
"280","I Never Loved A Man","Aretha Franklin","3/4","F"
"281","He's A Rebel","The Crystals","4/4","F"
"282","Amie","Pure Prairie League","4/4","A"
"283","Wild Horses","Gino Vannelli","4/4","Bb"
"284","Jimmy's Girl","Johnny Tillotson","4/4","Db"
"285","Sunday Morning Sunshine","Harry Chapin","4/4","E"
"286","Someone ","The Rembrandts","4/4","B"
"287","Golden Years","David Bowie","4/4","Gb"
"288","(You're So Square) Baby, I Don't Care","Joni Mitchell","4/4","G"
"289","Chain Of Fools","Aretha Franklin","4/4","C"
"290","Blow Away","George Harrison","4/4","D"
"291","Pinball Wizard","The Who","4/4","D"
"292","See See Rider","LaVern Baker","4/4","Db"
"293","I m Goin Down","Bruce Springsteen","4/4","A"
"294","Bluebirds Over The Mountain","The Beach Boys","4/4","A"
"295","Put Your Hand In The Hand","Ocean","4/4","E"
"296","I Want a New Drug","Huey Lewis & The News","4/4","A"
"297","One Bad Apple","The Osmonds","4/4","C"
"298","If I Could Reach You","The 5th Dimension","4/4","Bb"
"299","Where Or When","Dion","4/4","Ab"
"300","Ruby Baby","Dion","4/4","E"
"301","World In My Eyes","Depeche Mode","4/4","Eb"
"302","Better Things","The Kinks","4/4","D"
"303","I Really Don't Want To Know","Elvis Presley","3/4","C"
"304","Old Days","Chicago","4/4","C"
"305","Back Home Again","John Denver","4/4","E"
"306","Jump (for My Love)","The Pointer Sisters","4/4","A"
"307","Jessie's Girl","Rick Springfield","4/4","D"
"308","Got It Made","Crosby Stills and Nash","4/4","C"
"309","Don't Say You Love Me","Billy Squier","4/4","F#"
"310","Feel Like Making Love","Roberta Flack","4/4","Eb"
"311","Walk On The Wild Side (Part 1)","Jimmy Smith","12/8","F"
"312","With a Little Luck","Paul McCartney","4/4","E"
"313","Not Fade Away","Rolling Stones","4/4","E"
"314","Addicted to Love","Robert Palmer","4/4","A"
"315","On Broadway","The Drifters","4/4","F#"
"316","Seasons Of The Heart","John Denver","4/4","C"
"317","Flesh For Fantasy","Billy Idol","4/4","B"
"318","Give To Live","Sammy Hagar","4/4","D"
"319","Little Bit O' Soul","The Music Explosion","4/4","F#"
"320","Ain't Too Proud To Beg","The Temptations","4/4","C"
"321","In Your Soul","Corey Hart","4/4","A"
"322","As Usual","Brenda Lee","4/4","Db"
"323","Sweet Music Man","Kenny Rogers","4/4","D"
"324","Come Together","The Beatles","4/4","D"
"325","Silver Threads And Golden Needles","The Cowsills","4/4","F"
"326","Daydream Believer","Anne Murray","4/4","Bb"
"327","I Adore Mi Amor","Color Me Badd","4/4","Eb"
"328","Carrie-Anne","The Hollies","4/4","C"
"329","One Last Kiss","J. Geils Band","4/4","D"
"330","Wendy","The Beach Boys","4/4","F"
"331","Give It To Me Baby","Rick James","4/4","G"
"332","Baby, Baby Don't Cry","The Miracles","4/4","F"
"333","I'm In Love","Evelyn "Champagne" King","4/4","C"
"334","Right Place Wrong Time","Dr. John","4/4","Eb"
"335","Heart in Hand","Brenda Lee","4/4","C"
"336","Rich Girl","Hall and Oates","4/4","F"
"337","My Thang","James Brown","4/4","F"
"338","Don't stand so close to me","Police","4/4","Eb"
"339","I Don't Need You","Kenny Rogers","4/4","Db"
"340","City In The Sky","The Staple Singers","4/4","D"
"341","The Battle Of New Orleans","Johnny Horton","4/4","A"
"342","Last Dance","Donna Summer","4/4","Eb"
"343","I've Been Loving You Too Long (To Stop Now)","Otis Redding","6/8","A"
"344","Good Vibrations","Marky Mark & The Funky Bunch","4/4","Ab"
"345","The Joker ","Steve Miller Band","4/4","F"
"346","After the Lovin'","Engelbert Humperdinck","6/8","C"
"347","Still","Commodores","4/4","Db"
"348","For Ol' Times Sake","Elvis Presley","4/4","Bb"
"349","How Blue Can You Get","B.B. King","4/4","D"
"350","Oh My Angel","Bertha Tillman","6/8","C"
"351","Going To A Go-Go","The Rolling Stones","4/4","E"
"352","Fool That I Am","Etta James","4/4","Db"
"353","Those Lazy-Hazy-Crazy Days Of Summer","Nat King Cole","4/4","Bb"
"354","Years Ago","George Harrison","4/4","D"
"355","Suite","Crosby, Stills & Nash","4/4","E"
"356","The Humpty Dance ","Digital Underground ","4/4","Eb"
"357","Young Hearts Run Free","Candi Staton","4/4","Eb"
"358","Private Dancer","Tina Turner","4/4","G"
"359","Trampled Under Foot","Led Zeppelin","4/4","G"
"360","Love Comes Quickly","Pet Shop Boys","4/4","B"
"361","Crystal Blue Persuasion","Tommy James","4/4","A"
"362","This House","Tracie Spencer","4/4","F#"
"363","Running Up That Hill","Kate Bush","4/4","C"
"364","Baby You're Right","James Brown","4/4","D"
"365","Indiana Wants Me","R Dean Tayloy","4/4","Ab"
"366","Stop This Game","Cheap Trick","4/4","E"
"367","With You I'm Born Again","Billy Preston","3/4","D"
"368","Wake Me Up Before You Go-Go","Wham!","4/4","C"
"369","If I Can Dream","Elvis Presley","12/8","C"
"370","Redneck Friend","Jackson Browne","4/4","E"
"371","Disco Inferno","The Trammps","4/4","C"
"372","Almost by Being In Love","Michael Johnson","4/4","Eb"
"373","Double Shot (Of My Baby's Love)","Swingin' Medallions","4/4","Ab"
"374","Shake Your Groove Thing","Peaches and Herb","4/4","A"
"375","Born To Be Alive","Patrick Hernandez","4/4","D"
"376","Maniac","Michael Sembello","4/4","Eb"
"377","Walk Right In","The Moments","4/4","A"
"378","Surrender","Cheap Trick","4/4","Bb"
"379","Baby I'm Burnin'","Dolly Parton","4/4","B"
"380","Cecilia","Simon & Garfunkel","4/4","B"
"381","Boulevard","Jackson Browne","4/4","A"
"382","Fool That I Am","Etta James","4/4","Db"
"383","Judy","Elvis Presley","4/4","G"
"384","The Look","Roxette","4/4","A"
"385","Dance Away","Roxy","4/4","Eb"
"386","Six Days On The Road","Dave Dudley","4/4","G"
"387","Quarter To Three","Gary U.S. Bonds","4/4","Eb"
"388","Tarzan Boy (From "Teenage Mutant Ninja Turtles III")","Baltimora","4/4","F"
"389","Oh Me, Oh My (Dreams In My Arms)","Al Green","4/4","F"
"390","Along Comes A Woman","Chicago","4/4","D"
"391","Let's work Together","Canned Heat","4/4","G"
"392","Giving You the Best That I Got ","Anita Baker","4/4","A"
"393","Heart Full of Soul","The Yardbirds","4/4","D"
"394","I Found A Love","The Falcons","12/8","G"
"395","I Don't Blame You At All","The Miracles","4/4","Ab"
"396","Amor","Ben E. King","4/4","Bb"
"397","Too Weak To Fight","Clarence Carter","4/4","Db"
"398","Unchained Melody","The Righteous Brothers","12/8","C"
"399","We Are The Champions","Queen","4/4","F"
"400","Southern Cross","Crosby, Stills & Nash","4/4","A"
"401","Talk to me","Chico DeBarge","4/4","Ab"
"402","The Long Run","Eagles","4/4","C"
"403","All she wants is","Duran Duran","4/4","D"
"404","Situation","Yaz","4/4","C#"
"405","Letter Full of Tears","Gladys Knight & The Pips","4/4","E"
"406","Time Is On My Side","Rolling Stones","12/8","F"
"407","Wish Someone Would Care","Irma Thomas","4/4","D"
"408","Hey Stoopid","Alice Cooper","4/4","C"
"409","Tarzan Boy (From "Teenage Mutant Ninja Turtles III")","Baltimora","4/4","F"
"410","I Can Help","Billy Swan","12/8","C"
"411","Sleep Walk","Santo & Johnny","6/8","Db"
"412","The Thrill Is Gone","B.B. King","4/4","B"
"413","I Love","Tom D Hall","4/4","E"
"414","Everlasting Love","Carl Carlton","4/4","A"
"415","Harden My Heart","Quarterflash","4/4","B"
"416","Rocket Ride ","Kiss","4/4","Eb"
"417","I want to take you higher","Sly And The Family Stone","4/4","A"
"418","Hot Child in the City","Nick Gilder","4/4","E"
"419","Simon & Garfunkel","Mrs. Robinson","4/4","A"
"420","His Latest Flame","Elvis Presley","4/4","G"
"421","Everybody Loves Somebody","Dean Martin","4/4","Eb"
"422","If I Could Build My Whole World Around You","Marvin Gaye & Tammy Terrell","4/4","Db"
"423","Twisting the Night Away","Rod Stewart","4/4","D"
"424","Ghostbusters Theme","Ray Parker Jr","4/4","B"
"425","It's Only Make Believe","Glen Campbell","4/4","C"
"426","Higher Ground","Stevie Wonder","12/8","Eb"
"427","Nick of Time","Bonnie Raitt","4/4","C"
"428","Hold On","Wilson Phillips","4/4","F"
"429","Beat It","Michael Jackson","4/4","Eb"
"430","If You really love me","Stevie Wonder","4/4","F"
"431","Maneater","Daryl Hall & John Oates","4/4","B"
"432","Brass Monkey","Beastie Boys","4/4","A"
"433","Little Old Lady From Pasadena","Jan & Dean","4/4","Eb"
"434","After the Lovin'","Engelbert Humperdinck","6/8","C"
"435","Human Nature","Michael Jackson","4/4","D"
"436","Out Of My Mind","Johnny Tillotson","4/4","G"
"437","Think","James Brown","4/4","Eb"
"438","The People In Me","The Music Machine","4/4","Ab"
"439","(Sittin' On) The Dock Of The Bay","Otis Redding","4/4","G"
"440","Caught Up In The Rapture","Anita Baker","4/4","D"
"441","What Have I Done To Deserve This?","Pet Shop Boys ","4/4","C"
"442","Stoned Love","The Supremes","4/4","D"
"443","Hello Dolly","Louis Armstrong","4/4","C"
"444","It's Raining Men","The Weather Girls","4/4","F"
"445","Tainted Love","Soft Cell","4/4","G"
"446","Sunrise","Eric Carmen","4/4","Ab"
